Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
25,63,21,2, False
25,62,25,4, True
25,61,30,3, False
25,60,26,4, False
25,59,1,5, False
25,58,30,4, False
25,57,8,5, True
25,56,30,4, False
25,55,2,5, False
25,54,26,4, False
25,53,-8,1, False
25,52,-1,5, False
25,51,24,4, False
25,50,22,4, True
25,49,21,4, True
25,48,21,4, True
25,47,25,2, True
25,46,23,2, True
25,45,29,4, False
25,44,31,3, False
25,43,30,3, False
25,42,-5,5, True
25,41,1,1, True
25,40,30,3, False
25,39,33,3, False
25,38,21,1, False
25,37,36,2, False
25,36,22,1, False
25,35,38,2, False
25,34,32,3, False
25,33,36,2, False
25,32,31,3, True
25,31,33,3, False
25,30,37,3, False
25,29,30,3, True
25,28,13,1, False
25,27,29,2, False
25,26,29,2, True
25,25,30,3, False
25,24,1,1, False
25,23,23,2, True
25,22,26,2, False
25,21,35,3, False
25,20,-3,5, False
25,19,-3,1, True
25,18,28,2, False
25,17,27,3, False
25,16,-7,1, False
25,15,24,4, False
25,14,-2,5, True
25,13,28,3, False
25,12,32,3, False
25,11,37,3, False
25,10,36,3, False
25,9,26,3, True
25,8,23,4, False
25,7,-8,1, True
25,6,29,3, False
25,5,5,5, True
25,4,5,5, False
25,3,27,4, False
25,2,0,5, False
25,1,27,4, False
,,,,
,,,,
Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
24,57,24,4, True
24,56,26,4, False
24,55,4,5, False
24,54,29,4, False
24,53,22,4, True
24,52,28,4, False
24,51,29,3, False
24,50,28,3, False
24,49,4,5, False
24,48,30,4, False
24,47,25,3, True
24,46,28,4, False
24,45,26,3, True
24,44,23,4, True
24,43,31,3, False
24,42,-6,5, True
24,41,2,5, False
24,40,25,4, False
24,39,27,4, False
24,38,26,3, True
24,37,21,2, False
24,36,32,3, False
24,35,25,4, False
24,34,28,3, False
24,33,-1,5, False
24,32,21,4, False
24,31,-1,5, True
24,30,22,2, False
24,29,30,3, False
24,28,24,3, True
24,27,29,2, False
24,26,37,3, False
24,25,28,3, True
24,24,1,5, False
24,23,24,4, False
24,22,1,1, False
24,21,22,4, False
24,20,-8,5, True
24,19,25,2, False
24,18,0,1, False
24,17,22,2, False
24,16,3,1, False
24,15,29,2, False
24,14,25,2, True
24,13,9,1, False
24,12,30,2, False
24,11,25,3, True
24,10,26,4, False
24,9,35,3, False
24,8,28,3, False
24,7,0,1, False
24,6,27,2, False
24,5,35,3, False
24,4,36,3, False
24,3,17,1, False
24,2,31,2, False
24,1,8,1, False
,,,,
,,,,
Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
99,87,-14,1, False
99,86,88,4, False
99,85,112,3, False
99,84,-29,1, False
99,83,-9,5, False
99,82,87,4, False
99,81,-28,1, False
99,80,88,4, True
99,79,95,4, False
99,78,105,3, False
99,77,-27,1, False
99,76,-3,5, False
99,75,98,4, False
99,74,-33,1, False
99,73,95,4, False
99,72,-36,1, False
99,71,1,5, True
99,70,78,2, True
99,69,87,2, False
99,68,117,3, False
99,67,109,3, False
99,66,-18,1, False
99,65,85,2, False
99,64,-11,1, False
99,63,97,2, False
99,62,114,3, False
99,61,14,1, False
99,60,101,2, False
99,59,94,2, False
99,58,-15,1, False
99,57,87,2, False
99,56,-18,1, False
99,55,89,2, False
99,54,111,3, False
99,53,-24,1, False
99,52,87,4, False
99,51,-9,1, False
99,50,89,4, False
99,49,-19,1, False
99,48,96,4, False
99,47,-13,5, False
99,46,96,4, False
99,45,-3,5, False
99,44,92,4, False
99,43,-16,5, True
99,42,-16,5, False
99,41,85,4, False
99,40,-11,1, False
99,39,86,2, False
99,38,-10,1, False
99,37,104,2, False
99,36,-1,1, False
99,35,112,2, False
99,34,95,2, False
99,33,115,3, False
99,32,100,3, True
99,31,111,3, False
99,30,-8,1, False
99,29,97,2, False
99,28,-5,1, False
99,27,102,2, False
99,26,-19,5, False
99,25,78,4, True
99,24,88,2, False
99,23,-18,5, False
99,22,83,4, False
99,21,-10,1, False
99,20,83,4, False
99,19,-24,1, False
99,18,86,4, False
99,17,-6,5, False
99,16,-21,1, False
99,15,94,4, False
99,14,-13,5, False
99,13,94,4, False
99,12,-29,1, False
99,11,-13,5, True
99,10,98,4, False
99,9,0,5, False
99,8,99,4, False
99,7,-1,5, False
99,6,123,4, False
99,5,102,4, False
99,4,113,3, False
99,3,104,3, False
99,2,-29,1, False
99,1,-6,5, False
,,,,
,,,,
Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
41,14,43,4, False
41,13,44,4, False
41,12,-11,1, True
41,11,-3,1, True
41,10,45,3, False
41,9,43,3, False
41,8,-13,1, False
41,7,3,5, False
41,6,41,4, False
41,5,-11,1, False
41,4,38,4, False
41,3,3,5, False
41,2,-3,5, False
41,1,39,4, False
,,,,
,,,,
Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
64,76,0,1, False
64,75,73,4, False
64,74,60,4, False
64,73,-13,1, False
64,72,61,4, False
64,71,81,3, False
64,70,67,3, False
64,69,71,3, False
64,68,69,3, True
64,67,75,3, False
64,66,73,3, False
64,65,15,1, False
64,64,55,4, False
64,63,-2,1, False
64,62,55,2, False
64,61,-1,1, False
64,60,65,2, False
64,59,67,3, False
64,58,-11,5, False
64,57,55,4, False
64,56,-11,1, False
64,55,4,5, True
64,54,60,2, False
64,53,53,2, True
64,52,74,3, False
64,51,69,3, False
64,50,-16,5, True
64,49,-9,1, False
64,48,59,4, True
64,47,62,4, False
64,46,58,4, True
64,45,62,4, False
64,44,-17,1, False
64,43,57,2, False
64,42,75,3, False
64,41,-7,1, False
64,40,52,2, False
64,39,-13,5, False
64,38,-9,5, False
64,37,54,4, False
64,36,-13,1, False
64,35,55,2, False
64,34,-12,5, False
64,33,51,4, True
64,32,-2,1, False
64,31,68,2, False
64,30,67,2, False
64,29,69,3, False
64,28,-5,1, False
64,27,74,2, False
64,26,4,1, False
64,25,69,2, False
64,24,74,3, False
64,23,18,1, False
64,22,69,2, False
64,21,26,1, False
64,20,80,2, False
64,19,38,1, False
64,18,80,2, False
64,17,30,1, False
64,16,80,2, False
64,15,30,1, False
64,14,74,2, False
64,13,85,3, False
64,12,87,3, False
64,11,84,3, False
64,10,26,1, False
64,9,24,1, True
64,8,30,1, False
64,7,74,2, False
64,6,8,1, False
64,5,58,4, False
64,4,0,1, False
64,3,68,2, False
64,2,77,3, False
64,1,79,3, False
Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
39,73,17,1, False
39,72,20,1, False
39,71,50,2, False
39,70,20,1, False
39,69,51,2, False
39,68,20,1, False
39,67,48,2, False
39,66,21,1, False
39,65,56,2, False
39,64,45,2, False
39,63,47,3, False
39,62,13,1, False
39,61,39,2, True
39,60,41,2, False
39,59,1,1, False
39,58,47,2, False
39,57,41,2, False
39,56,46,3, False
39,55,19,1, False
39,54,31,4, True
39,53,35,4, False
39,52,4,1, False
39,51,3,1, True
39,50,44,2, False
39,49,48,3, False
39,48,44,3, False
39,47,-1,1, False
39,46,35,4, True
39,45,35,2, False
39,44,42,3, False
39,43,-6,1, False
39,42,35,2, True
39,41,38,4, False
39,40,-11,1, False
39,39,42,3, True
39,38,40,2, False
39,37,2,5, False
39,36,38,2, False
39,35,46,3, False
39,34,6,1, False
39,33,42,2, False
39,32,37,4, False
39,31,50,3, False
39,30,23,1, False
39,29,37,4, False
39,28,51,3, False
39,27,48,3, True
39,26,51,3, False
39,25,38,2, True
39,24,45,2, False
39,23,53,3, False
39,22,44,3, False
39,21,-1,1, False
39,20,36,2, False
39,19,48,3, False
39,18,42,3, True
39,17,1,1, False
39,16,35,2, False
39,15,45,3, False
39,14,-8,1, False
39,13,39,4, False
39,12,4,5, False
39,11,40,4, False
39,10,-9,1, False
39,9,37,4, False
39,8,40,3, True
39,7,41,4, True
39,6,49,3, False
39,5,51,3, False
39,4,44,3, True
39,3,-3,1, False
39,2,-7,1, True
39,1,36,2, False
,,,,
,,,,
Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
28,59,40,2, False
28,58,32,3, True
28,57,8,1, False
28,56,33,2, False
28,55,7,1, False
28,54,9,1, False
28,53,31,2, True
28,52,17,1, False
28,51,37,2, False
28,50,7,1, False
28,49,33,2, False
28,48,27,2, False
28,47,-3,1, True
28,46,28,2, False
28,45,26,2, False
28,44,26,2, False
28,43,-10,5, True
28,42,-6,1, True
28,41,29,3, True
28,40,5,1, False
28,39,24,4, False
28,38,0,1, False
28,37,27,2, False
28,36,31,3, False
28,35,2,5, False
28,34,27,4, False
28,33,29,3, True
28,32,29,3, True
28,31,31,3, False
28,30,6,5, False
28,29,33,4, False
28,28,-3,5, True
28,27,30,4, False
28,26,29,3, True
28,25,28,2, False
28,24,38,3, False
28,23,31,3, False
28,22,34,3, False
28,21,32,3, False
28,20,5,1, True
28,19,39,3, False
28,18,7,1, False
28,17,27,2, True
28,16,32,3, True
28,15,39,3, False
28,14,7,1, True
28,13,33,2, False
28,12,12,1, False
28,11,36,2, False
28,10,31,2, False
28,9,5,1, False
28,8,35,2, False
28,7,6,1, True
28,6,35,2, False
28,5,8,1, False
28,4,34,2, False
28,3,12,1, False
28,2,31,2, False
28,1,4,1, True
,,,,
,,,,
Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
56,22,71,3, False
56,21,1,1, False
56,20,8,1, False
56,19,72,2, False
56,18,59,2, False
56,17,3,1, True
